rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
704,1688797121.25,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4832.0,4866.0,29.0,0.7918,0.0983,,,,555.836,13247.0,-19.0,16093.0,0.883642,504_202307_08_0617_35_0000655,,,2,6.311458333297778
705,1688797121.35,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4832.0,4866.0,29.0,0.7918,0.0,,,,555.836,13247.0,-19.0,16077.0,0.883642,504_202307_08_0617_35_0000656,,,2,6.311486111075555
706,1688797121.45,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4833.0,4867.0,29.0,0.792,0.0983,,,,555.835,13247.0,-18.0,16118.0,0.883841,504_202307_08_0617_35_0000657,,,2,6.311513888924444
707,1688797121.55,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4833.0,4867.0,29.0,0.792,0.0,,,,555.835,13247.0,-18.0,16085.0,0.883841,504_202307_08_0617_35_0000658,,,2,6.311541666631111
708,1688797121.64,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4834.0,4868.0,29.0,0.7922,0.0983,,,,555.835,13249.0,-20.0,16073.0,0.884041,504_202307_08_0617_35_0000659,,,2,6.311566666666667
709,1688797121.74,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4835.0,4869.0,29.0,0.7923,0.0983,,,,555.835,13249.0,-20.0,16102.0,0.884141,504_202307_08_0617_35_0000660,,,2,6.311594444444444
710,1688797121.85,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4837.0,4871.0,29.0,0.7927,0.1966,,,,555.835,13249.0,-20.0,16102.0,0.884541,504_202307_08_0617_35_0000661,,,2,6.311624999964445
711,1688797121.94,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4837.0,4871.0,29.0,0.7927,0.0,,,,555.835,13249.0,-20.0,16064.0,0.884541,504_202307_08_0617_35_0000662,,,2,6.31165
712,1688797122.05,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4837.0,4871.0,29.0,0.7927,0.0,,,,555.835,13246.0,-21.0,16064.0,0.884541,504_202307_08_0617_35_0000663,,,2,6.31168055552
713,1688797122.14,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4839.0,4873.0,29.0,0.793,0.1967,,,,555.835,13246.0,-21.0,16089.0,0.884841,504_202307_08_0617_35_0000664,,,2,6.311705555555555
714,1688797122.25,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4841.0,4875.0,29.0,0.7933,0.1967,,,,555.835,13249.0,-20.0,16052.0,0.885141,504_202307_08_0617_35_0000665,,,2,6.311736111075556
715,1688797122.34,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4841.0,4875.0,29.0,0.7933,0.0,,,,555.835,13249.0,-20.0,16056.0,0.885141,504_202307_08_0617_35_0000666,,,2,6.311761111111111
716,1688797122.44,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4843.0,4877.0,29.0,0.7936,0.1966,,,,555.835,13251.0,-22.0,16077.0,0.885441,504_202307_08_0617_35_0000667,,,2,6.311788888888889
717,1688797122.54,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4843.0,4877.0,29.0,0.7936,0.0,,,,555.835,13251.0,-22.0,16081.0,0.885441,504_202307_08_0617_35_0000668,,,2,6.311816666666666
718,1688797122.64,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4844.0,4878.0,29.0,0.7938,0.0983,,,,555.835,13250.0,-16.0,16093.0,0.885641,504_202307_08_0617_35_0000669,,,2,6.311844444444445
